Commit,Message,Date,Version,Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel
9af5edd0,"Merge pull request #2022 from JuliaPlots/sd-toml","2019-05-10 17:39:45 +0200",0.0.0,Plots,1566,446,189,122,367,219,207,2,14
bbf8b50a,"Merge pull request #2043 from yha/colorbar-warn-less","2019-06-02 19:30:00 +0200",0.25.1,Plots,1568,445,189,124,368,219,207,2,14
94841669,"Merge pull request #2060 from daschw/gr_arrow","2019-06-12 23:02:12 +0200",0.25.1,Plots,1569,446,189,124,368,219,207,2,14
7cf223a5,"Merge pull request #2063 from yha/segments-fix","2019-06-13 16:07:58 +0200",0.25.1,Plots,1570,447,189,124,368,219,207,2,14
cd1ee47a,"Merge pull request #2061 from daschw/ratio","2019-06-14 17:36:54 +0200",0.25.1,Plots,1570,451,189,117,371,219,207,2,14
552024ff,"Merge pull request #2074 from daschw/pyplot-gradient","2019-06-26 15:17:59 +0200",0.25.1,Plots,1574,451,189,118,374,219,207,2,14
538135bc,"Merge pull request #2075 from yha/missing-in-matrix","2019-06-27 11:22:35 +0200",0.25.1,Plots,1571,451,188,118,375,219,204,2,14
bb0e783c,"Merge pull request #2082 from yha/point-recipe-fix","2019-07-01 22:02:52 +0200",0.25.2,Plots,1567,455,188,118,375,219,196,2,14
64e035c5,"Merge pull request #2090 from daschw/areaplot","2019-07-04 13:45:52 +0200",0.25.3,Plots,1573,455,188,118,375,225,196,2,14
84c5b675,"Merge pull request #2035 from wfrgra/date_period_recipes","2019-07-18 11:37:15 +0200",0.26.0,Plots,1574,455,188,118,376,225,196,2,14
8306619f,"Merge pull request #2109 from yha/datetime-fix","2019-07-25 15:49:14 +0200",0.26.0,Plots,1573,455,188,118,375,225,196,2,14
78785fa8,"Merge pull request #2110 from yha/convertToAny","2019-07-31 00:33:39 +0300",0.26.0,Plots,1571,452,190,118,376,224,194,2,15
2ef692c6,"Merge pull request #2125 from daschw/plotly-html","2019-08-07 09:11:36 +0200",0.26.0,Plots,1572,453,190,118,376,224,194,2,15
0deb7038,"Merge pull request #2124 from daschw/chars","2019-08-07 09:19:53 +0200",0.26.0,Plots,1574,453,190,118,377,224,194,2,16
96e1b1d1,"Merge pull request #2131 from daschw/plotlyjs","2019-08-08 17:08:02 +0200",0.26.1,Plots,1577,455,190,118,378,224,194,2,16
3dcc7e55,"Merge pull request #2135 from yha/char-recipe","2019-08-11 18:37:31 +0300",0.26.1,Plots,1575,455,190,118,377,224,194,2,15
17e59dae,"Merge pull request #2139 from yha/ribbons","2019-08-13 17:06:06 +0300",0.26.1,Plots,1580,456,192,118,379,224,194,2,15
75ac34b7,"Merge pull request #2141 from benchislett/handle-empty-anim","2019-08-14 10:38:51 +0300",0.26.1,Plots,1580,457,192,118,379,224,194,2,14
ff774dc4,"Merge pull request #2159 from daschw/legendtitlefont","2019-08-27 09:11:07 +0200",0.26.2,Plots,1581,458,192,118,379,224,194,2,14
1db3b694,"Merge pull request #2162 from daschw/any","2019-08-28 23:24:24 +0200",0.26.2,Plots,1581,458,187,118,385,224,194,2,13
85e2534e,"Merge pull request #2165 from yha/yha-any","2019-08-30 11:38:25 +0300",0.26.2,Plots,1581,458,187,118,385,224,192,4,13
6c68b6f6,"Merge pull request #2178 from daschw/pgfplots-vline","2019-09-09 14:37:13 +0200",0.26.3,Plots,1584,458,187,118,388,224,192,4,13
99293ba5,"Merge pull request #2210 from InfiniteChai/is/fractional_fps","2019-10-11 12:55:07 +0200",0.27.0,Plots,1586,458,188,118,389,224,192,4,13
a76e756f,"Merge pull request #2186 from JuliaPlots/as/fix-ribbon-2tuple-dispatch","2019-10-13 19:23:12 +0200",0.27.0,Plots,1586,457,188,118,390,224,192,4,13
6b0e45c4,"Merge pull request #2230 from daschw/colorbar","2019-10-29 09:12:07 +0100",0.27.0,Plots,1586,458,187,119,390,223,192,4,13
63cd8658,"Merge pull request #2234 from lmh91/lmh_gr_nonuniform_heatmap","2019-11-06 15:55:54 +0100",0.27.0,Plots,1589,458,190,119,390,223,192,4,13
eab50911,"Merge pull request #2236 from yha/inf-nan","2019-11-12 15:16:33 +0200",0.27.0,Plots,1589,458,191,119,389,223,192,4,13
2245e572,"Merge pull request #2250 from yhls/yhls/precompile","2019-11-14 19:24:47 +0100",0.27.0,Plots,1590,459,191,119,389,223,192,4,13
12efedf3,"Merge pull request #2274 from daschw/deps","2019-11-27 11:15:52 +0100",0.27.2,Plots,1587,468,187,123,383,223,192,4,7
ca0c78fe,"Merge pull request #2284 from daschw/release","2019-11-27 11:32:50 +0100",0.28.0,Plots,1592,459,189,124,381,222,208,2,7
7e54cd43,"Merge pull request #2286 from daschw/colorgradient","2019-11-27 19:42:09 +0100",0.28.1,Plots,1592,458,189,124,382,222,208,2,7
e903514f,"Merge pull request #2252 from BeastyBlacksmith/pgfplotsx","2019-11-29 22:06:09 +0100",0.28.1,Plots,1607,472,190,124,382,222,208,2,7
93d7e53f,"Merge pull request #2289 from daschw/deps","2019-11-30 13:28:28 +0100",0.28.1,Plots,1606,472,190,124,381,222,208,2,7
172193e7,"Merge pull request #2292 from daschw/orca","2019-11-30 17:11:48 +0100",0.28.1,Plots,1606,471,190,125,381,222,208,2,7
374809d3,"gr: optimize 'heatmap' logic","2019-12-03 17:50:40 +0100",0.28.2,Plots,1607,471,190,125,382,222,208,2,7
589713cb,"Merge remote-tracking branch 'upstream/master'","2019-12-03 21:25:42 +0100",0.28.2,Plots,1613,471,190,125,388,222,208,2,7
3459bcd8,"Merge pull request #2304 from michakraus/master","2019-12-07 11:04:13 +0100",0.28.2,Plots,1614,471,191,125,388,222,208,2,7
140afeb5,"Merge pull request #2320 from korsbo/layout_colon","2019-12-12 09:35:56 +0100",0.28.3,Plots,1619,474,192,125,391,222,206,2,7
82479d48,"Merge pull request #2325 from daschw/axes-3d","2019-12-13 23:48:25 +0100",0.28.3,Plots,1624,475,192,126,394,222,206,2,7
dd70192d,"Merge pull request #2354 from BeastyBlacksmith/pgfplotsx","2020-01-10 22:26:19 +0100",0.28.5,Plots,1625,475,192,126,394,222,207,2,7
d709b53e,"Merge pull request #2370 from jheinen/master","2020-01-27 16:56:20 +0100",0.28.5,Plots,1627,476,192,126,395,222,207,2,7
33553eb0,"update version and dep of RecipesBase","2020-02-06 12:08:35 +0100",0.29.0,Plots,1640,466,199,125,411,222,207,2,8
20a29079,"Merge pull request #2388 from daschw/akw","2020-02-09 09:26:00 +0100",0.29.0,Plots,1640,455,208,126,411,222,207,2,9
0c0a2c21,"Merge pull request #2396 from GaaH/add-txt-extension","2020-02-12 09:12:42 +0100",0.29.1,Plots,1642,455,210,126,411,222,207,2,9
3221b80a,"Merge pull request #2402 from yha/gr-scientific-ticks","2020-02-17 16:58:04 +0200",0.29.1,Plots,1644,455,210,126,413,222,207,2,9
a301366e,"Merge remote-tracking branch 'upstream/master'","2020-03-07 10:53:02 +0100",0.29.6,Plots,1644,464,207,125,419,225,191,4,9
2849082f,"Merge remote-tracking branch 'upstream/master'","2020-03-19 10:35:14 +0100",0.29.8,Plots,1645,464,208,125,419,225,191,4,9
c94746f3,"Merge remote-tracking branch 'upstream/master'","2020-03-24 10:41:52 +0100",0.29.8,Plots,1649,464,210,125,421,225,191,4,9
d9dba509,"Merge remote-tracking branch 'upstream/master'","2020-03-26 12:57:48 +0100",0.29.8,Plots,1638,459,205,125,424,225,187,4,9
1c66f4bf,"Merge remote-tracking branch 'upstream/master'","2020-03-29 10:45:41 +0200",0.29.9,Plots,1649,459,205,126,434,226,186,2,11
a6aa39e3,"Merge remote-tracking branch 'upstream/master'","2020-03-30 10:37:53 +0200",0.29.9,Plots,1648,458,205,126,434,226,186,2,11
c3a9eb88,"Merge remote-tracking branch 'upstream/master'","2020-03-31 11:50:03 +0200",0.29.9,Plots,1648,458,205,126,433,226,187,2,11
5f744dac,"Merge remote-tracking branch 'upstream/master'","2020-04-02 17:31:20 +0200",0.29.9,Plots,1653,458,206,125,439,226,186,2,11
03a27994,"Merge remote-tracking branch 'upstream/master'","2020-04-11 09:42:47 +0200",1.0.8,Plots,1544,445,196,115,372,223,178,2,13
fe0858eb,"Merge pull request #2597 from daschw/annotations","2020-04-18 19:26:31 +0200",1.0.11,Plots,1546,445,197,115,372,225,176,2,14
08c0f6d9,"Merge pull request #2612 from daschw/savefig","2020-04-23 00:01:58 +0200",1.0.14,Plots,1545,445,196,115,372,225,176,2,14
5739acd0,"Merge pull request #2624 from daschw/default","2020-04-24 20:28:55 +0200",1.0.14,Plots,1545,445,195,115,373,225,176,2,14
703bdf6c,"Merge pull request #2564 from daschw/colorschemes","2020-04-24 22:16:14 +0200",1.1.0,Plots,1554,435,198,120,382,225,176,2,16
47a8294d,"Merge pull request #2637 from daschw/const","2020-04-26 22:13:11 +0200",1.1.2,Plots,1558,435,198,119,387,225,176,2,16
2b1673df,"Merge pull request #2643 from daschw/legendmarker","2020-04-28 21:17:10 +0200",1.1.2,Plots,1559,435,198,119,388,225,176,2,16
8976fc4a,"Merge pull request #2644 from daschw/pie","2020-04-28 22:01:42 +0200",1.1.2,Plots,1558,434,198,119,388,225,176,2,16
dfb55633,"Merge pull request #2662 from daschw/plotarea","2020-05-03 15:54:56 +0200",1.2.0,Plots,1566,427,198,125,397,225,176,2,16
56f90ffa,"Merge pull request #2663 from dietercastel/webm","2020-05-03 19:28:49 +0200",1.2.0,Plots,1570,429,198,125,399,225,176,2,16
3273a658,"Merge pull request #2657 from mileslucas/climsfunc","2020-05-05 08:18:07 +0200",1.2.1,Plots,1576,430,199,125,403,225,176,2,16
6ddf31d4,"Merge pull request #2673 from komi1230/master","2020-05-05 20:50:40 +0200",1.2.2,Plots,1575,430,199,125,402,225,176,2,16
1e9691a7,"Add support for mathjax (latex) and extra_plot_kwargs in plotly backend (#2719)","2020-05-21 12:32:25 +0200",1.3.1,Plots,1577,429,199,126,402,227,176,2,16
2e53c571,"bump GR version","2020-05-29 16:49:51 +0200",1.3.3,Plots,1577,430,198,123,402,227,176,2,19
4d8ea50f,"Merge pull request #2754 from daschw/current-stable","2020-06-04 00:24:19 +0200",1.3.6,Plots,1577,431,197,123,402,227,176,2,19
54671c15,"Merge pull request #2751 from isentropic/plotly-legends","2020-06-04 11:42:20 +0200",1.3.6,Plots,1578,432,197,123,402,227,176,2,19
f2d7d394,"Merge pull request #2760 from daschw/gr-heatmap","2020-06-05 19:55:16 +0200",1.3.7,Plots,1580,432,197,123,404,227,176,2,19
a992effa,"scalefontsize fixed (#2765)","2020-06-09 15:37:39 +0900",1.3.7,Plots,1581,433,197,123,404,227,176,2,19
c2df99cc,"remove showgradient and showlibrary (#2769)","2020-06-09 08:38:43 +0200",1.3.7,Plots,1569,433,197,123,404,215,176,2,19
d6af1da3,"Fix #2771: Add aliases (#2791)","2020-06-17 18:22:01 +0545",1.4.2,Plots,1570,434,197,123,404,215,176,2,19
065089a1,"Merge pull request #2832 from daschw/snoopibot","2020-07-01 09:16:54 +0200",1.5.0,Plots,1569,433,197,123,404,215,176,2,19
079152a6,"Merge pull request #2839 from daschw/precompile","2020-07-02 14:39:20 +0200",1.5.1,Plots,1571,434,197,124,404,215,176,2,19
e3512b0f,"Add label for `label=0` kwarg (#2837)","2020-07-02 20:02:37 +0530",1.5.1,Plots,1576,434,197,124,409,215,176,2,19
bece65e9,"Update Project.toml","2020-07-15 21:17:25 +0200",1.5.4,Plots,1576,435,198,125,409,215,176,2,16
bf85afe9,"unite titlefonts (#2363)","2020-08-13 11:31:17 +0200",1.5.9,Plots,1580,437,198,125,411,215,176,2,16
e2c38789,"Add :mesh3d series type for Plotly (#2909)","2020-08-14 14:26:16 +0200",1.5.9,Plots,1584,437,198,125,411,219,176,2,16
0230e29c,"Merge pull request #2898 from yha/tick-format","2020-08-26 18:33:43 +0300",1.6.1,Plots,1585,437,198,128,409,219,176,2,16
b7fedc42,"Merge pull request #2940 from daschw/marker-segments","2020-08-31 20:57:38 +0200",1.6.2,Plots,1586,437,198,129,409,219,176,2,16
52cb6fbd,"Merge pull request #2958 from yha/txt-no-prepare","2020-09-07 19:05:37 +0300",1.6.3,Plots,1585,436,198,129,409,219,176,2,16
49555ecc,"Letterswap (#2979)","2020-09-16 14:37:26 +0200",1.6.4,Plots,1586,436,198,129,410,219,176,2,16
ab0cfd09,"Merge pull request #2960 from daschw/gr-cleanup","2020-09-19 10:55:04 +0300",1.6.5,Plots,1623,436,198,127,449,219,176,2,16
bf8b8289,"Merge pull request #2998 from daschw/gr-ticks","2020-09-21 22:19:20 +0200",1.6.5,Plots,1624,436,198,127,450,219,176,2,16
e932c76d,"Merge pull request #2962 from Moelf/master","2020-09-25 09:47:27 +0200",1.6.6,Plots,1625,436,198,127,451,219,176,2,16
23b852da,"Merge pull request #3030 from daschw/plotly-3d","2020-10-03 13:40:45 +0200",1.6.8,Plots,1627,436,198,127,453,219,176,2,16
1784d617,"Merge pull request #3033 from daschw/minor-fixes","2020-10-06 00:34:23 +0200",1.6.8,Plots,1627,436,200,127,453,219,174,2,16
c15483d5,"Merge pull request #3056 from daschw/transpose_z","2020-10-12 22:21:10 +0200",1.6.10,Plots,1624,436,198,127,452,219,174,2,16
842b8fa7,"add add_attributes macro (#3069)","2020-10-20 17:53:44 +0200",1.6.12,Plots,1627,437,198,127,454,219,174,2,16
8ce603d3,"Merge pull request #3097 from daschw/gr-clims","2020-10-24 21:13:25 +0200",1.7.3,Plots,1628,437,198,127,454,220,174,2,16
d89b93fe,"Merge pull request #3109 from daschw/compilebot","2020-10-31 13:24:00 +0100",1.7.3,Plots,1626,436,198,126,454,220,174,2,16
3725a8d3,"Merge pull request #3115 from daschw/inference","2020-11-09 23:05:03 +0100",1.7.3,Plots,1624,437,198,127,451,219,174,2,16
c857d594,"Merge pull request #3169 from JuliaPlots/Test_SnoopCompile_AutoPR_refs/heads/master","2020-11-27 18:30:58 +0100",1.9.1,Plots,1622,436,198,126,451,219,174,2,16
c64bbf82,"Merge pull request #3191 from daschw/datetimelims","2020-12-31 09:20:52 +0100",1.10.0,Plots,1622,439,201,126,451,219,168,2,16
93825e2c,"Merge pull request #3201 from JuliaPlots/compathelper/new_version/2020-12-26-00-35-02-072-2106613790","2020-12-31 09:21:30 +0100",1.10.0,Plots,1624,439,201,128,451,219,168,2,16
8a2a41f7,"Merge pull request #3242 from KristofferC/kc/reenable_precompilation","2021-01-25 16:39:18 +0000",1.10.1,Plots,1626,440,201,129,451,219,168,2,16
880190ce,"Merge pull request #3246 from aminya/Single_CompileBot","2021-01-26 10:30:58 +0000",1.10.1,Plots,1624,439,201,128,451,219,168,2,16
52ba52f4,"Merge pull request #3249 from JuliaPlots/Test_SnoopCompile_AutoPR_refs/heads/master","2021-01-26 20:17:19 +0000",1.10.1,Plots,1626,440,201,129,451,219,168,2,16
e06a51b4,"Merge pull request #3299 from fhagemann/master","2021-02-16 21:54:58 +0100",1.10.4,Plots,1629,440,204,129,451,219,168,2,16
6201dfe5,"Merge pull request #3324 from gustaphe/legendangle","2021-03-06 12:37:35 +0100",1.10.6,Plots,1641,442,207,129,455,219,171,2,16
796f9ef4,"Merge pull request #3354 from JuliaPlots/Test_SnoopCompile_AutoPR_refs/heads/master","2021-03-18 22:10:22 +0100",1.10.6,Plots,1642,443,207,129,455,219,171,2,16
c0824bdc,"Colorbar enhancements (#3346)","2021-03-25 11:22:07 +0900",1.11.0,Plots,1651,443,207,130,458,221,174,2,16
0a84ff8c,"Merge pull request #3377 from mmikhasenko/master","2021-03-28 21:29:04 +0200",1.11.0,Plots,1655,443,207,130,462,221,174,2,16
8cf268a3,"Add ticks getter functions (#3435)","2021-04-23 16:52:17 +1000",1.13.0,Plots,1663,445,207,136,462,221,174,2,16
